model_code,my,model_desc,section,type,program_id,program_name,fico_min,mileage_per_year,term_min,term_max,apr,bonus_cash,rv,mf,lease_cash,end_date
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,10000,36,36,,,64,0.00228,1500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,10000,39,39,,,64,0.00224,250,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,740,10000,48,48,,,56,0.00266,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,10000,24,24,,,75,0.00198,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,10000,36,36,,,64,0.00228,1500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,10000,39,39,,,64,0.00224,250,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,720,10000,48,48,,,56,0.00266,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,10000,24,24,,,75,0.00212,500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,10000,36,36,,,64,0.00246,1500,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,10000,39,39,,,64,0.00242,250,12/31/2025
Q1412A45,2026,KONA SEL SPORT AWD,Lease Program,Special Lease,C2511LLE75,202511 H202 MS,700,10000,48,48,,,56,0.00286,500,12/31/2025
