dealer,model_code,model_desc,purchase_date,sales_type,todays_date,section,type,program_id,program_name,end_date,rdr_deadline,claim_cutoff_date,amount_min,amount_max,package,fico_min,fico_max,mileage_per_year,term_min,term_max,apr,bonus_cash,rv,mf,lease_cash
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,580,619,,37,48,11.49,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,580,619,,49,60,11.49,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,580,619,,61,72,12.09,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Low APR,C2602RLA07,202602 H700 MS,3/2/2026,,,,,*,740,999,,24,24,3.49,0,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Low APR,C2602RLA07,202602 H700 MS,3/2/2026,,,,,*,740,999,,25,36,3.49,0,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Low APR,C2602RLA07,202602 H700 MS,3/2/2026,,,,,*,740,999,,37,48,3.49,0,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Low APR,C2602RLA07,202602 H700 MS,3/2/2026,,,,,*,740,999,,49,60,3.49,0,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Low APR,C2602RLA07,202602 H700 MS,3/2/2026,,,,,*,740,999,,61,72,3.99,0,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Low APR,C2602RLA07,202602 H700 MS,3/2/2026,,,,,*,740,999,,73,84,6.99,0,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Low APR,C2602RLA07,202602 H700 MS,3/2/2026,,,,,*,720,739,,24,24,3.49,0,,,
